Argument ID	Conclusion	Stance	Premise	Type
A05080	We should ban telemarketing	against	We should not ban telemarketing as it it allows people to learn about new products or services from the comfort of their own homes.	train
A05081	We should abolish capital punishment	against	We should not abolish capital punishment because if the criminal done with their time in jail they may commit far more serious crime again because some criminal cannot be rehabilitated	train
A05082	We should ban algorithmic trading	in favor of	algorithmic trading should be banned because it gives some people an unfair advantage.	train
A05083	We should legalize prostitution	in favor of	legalising prostitution will ensure the safety of both the sex trade worker and client	train
A05086	We should ban telemarketing	in favor of	telemarketing is intrusive, annoying and violates privacy	train
A05087	We should end mandatory retirement	in favor of	We should end mandatory retirement because it removes people who are knowledgeable and skilled from jobs that they are good at.	train
A05088	We should abandon the use of school uniform	in favor of	if you are not required to wear a uniform, you are free to choose clothing styles that are more favorable to your body type and coloring, which allows you to look your best	train
A05089	We should ban missionary work	against	missionary work is beneficial for those receiving aid.	train
A05090	We should abandon the use of school uniform	in favor of	forcing children into wearing school uniforms shows our children that they cannot think as individuals and must conform to societies way of thinking.	train
A05091	We should fight for the abolition of nuclear weapons	against	Nuclear weapons can bring about a certain level of respect	train
A05092	We should ban the Church of Scientology	in favor of	scientology is actually a wealthy cult and members are abused physically and financially.	train
A05093	We should ban the use of child actors	in favor of	child actors lose the sense of a proper childhood.	train
A05095	We should abolish the three-strikes laws	against	we need the three strikes as a deterrent	train
A05096	We should prohibit school prayer	against	a non-denominational school prayer is about as bad as reciting the pledge of allegiance in school, and should be allowed.	train
A05097	We should adopt a zero-tolerance policy in schools	in favor of	children need to learn boundaries and consequences for their actions. they learn faster if there is immediate repercussions than if you let them do it over and over again.	train
A05098	We should limit executive compensation	against	We should not limit executive compensation as they should get the salary equal to their contribution to the organisation.	train
A05099	We should abolish the right to keep and bear arms	in favor of	it will decrease the number of crimes and violence on the streets	train
A06002	We should end the use of economic sanctions	against	economic sanctions are often a proportional punishment	train
A06003	We should stop the development of autonomous cars	in favor of	autonomous cars are prohibitively expensive	train
A06004	We should abandon the use of school uniform	in favor of	school uniforms cost a lot and might not be affordable for everyone	train
A06005	We should end mandatory retirement	against	Mandatory retirement lets companies more easily make space for new workers that have more of an incentive to work hard at a new job.	train
A06008	We should adopt a zero-tolerance policy in schools	in favor of	a zero tolerance policy at school is a good idea because children need to be disciplined as it might cut crime in the future.	train
A06010	We should abolish safe spaces	in favor of	Safe spaces stifle dialogue about controversial topics, such as race, gender and religion.	train
A06011	We should end the use of economic sanctions	in favor of	economic sanctions are unethical to the economies of smaller, underdeveloped countries.	train
A06015	We should ban the use of child actors	in favor of	we should ban the use of child actors since it puts so much pressure on them. they should be growing up with a stable life and just enjoy being a kid.	train
A06017	We should subsidize student loans	in favor of	we should subsidize student loans as these are our future leaders and workers and we want to ensure their success in order to secure the countries success.	train
A06019	We should legalize prostitution	in favor of	prostitution should be legal as it can be controlled & monitored easier & be less dangerous	train
A06020	We should cancel pride parades	against	pride marches are a crucial part of gay visibility and the fight for equality. ensuring that the fight against injustice continues, especially in countries where homosexuality is still a criminal offense.	train
A07001	We should cancel pride parades	against	pride parades allow people to make connections and widen their social circles.	train
A07006	We should ban missionary work	in favor of	people should keep their religion to themselves	train
A07007	We should adopt atheism	in favor of	not everybody believes in or practices a religion so we should adopt atheism for them	train
A07008	We should end the use of economic sanctions	in favor of	economic sanctions are used to bully other nations to act in your own interest, by harming the innocent citizens no less	train
A07009	We should ban private military companies	in favor of	only governments can be trusted with armies so we should ban private military companies.	train
A07010	We should legalize prostitution	against	it sets a bad example for younger generation and takes them away from the ethics of the society	train
A07011	We should subsidize space exploration	against	there are much more important things to spend money on; space exploration is a low priority and should not be subsidized	train
A07012	We should subsidize journalism	in favor of	journalism is more important than ever in an era of fake news and social media.	train
A07014	We should abolish the Olympic Games	in favor of	we should abolish the olympic games because bring together different nations with radically different governments is dangerous.	train
A07016	We should ban factory farming	in favor of	factory farming treats animals inhumanely, which is wrong and immoral.	train
A07018	We should prohibit school prayer	in favor of	we need to prohibit school prayer, as not all people agree with it and it should not be forced on anyone	train
A07019	We should end mandatory retirement	against	Setting a mandatory retirement age allows for the younger generations to move up the ladder and to better support their own families.	train
A07020	We should abolish the Olympic Games	in favor of	the olympic games encourage animosity between countries	train
A07021	We should adopt an austerity regime	against	austerity only leads to economic contraction that endangers the chance of reducing the debt.	train
A07022	We should adopt gender-neutral language	in favor of	there are far more than two genders today, and thus, gender-neutral language only makes sense.	train
A07023	We should abolish safe spaces	in favor of	safe places are not needed. people need to adjust to the world in which they live in and stop trying to always seek protection from the things they don't like.	train
A07025	We should abolish capital punishment	in favor of	there are too many historical cases where innocent people have been put to death.	train
A07026	We should adopt a multi-party system	in favor of	multi-party systems offer voters more choices and more representation.	train
A07031	We should abolish intellectual property rights	against	we cannot abolish intellectual property rights because artists and scientists need to have their ideas and innovations protected so that they can earn a living in their fields	train
A07032	We should legalize prostitution	in favor of	with so much sexual freedom these days prostitution should now be legal.	train
A07033	We should stop the development of autonomous cars	in favor of	they can cause accidents if the equipment fails.	train
A07034	We should legalize cannabis	against	cannabis especially the skunk variety can be very harmful to people and can lead on to them using harder drugs so therefore it should be illegal.	train
A07036	We should limit judicial activism	in favor of	judicial activism relies too heavily upon personal opinion and leads to bias.	train
A07037	We should ban fast food	against	we all have the right to eat what we want, to prohibit a specific type of food is an abuse of power	train
A07038	We should abandon the use of school uniform	in favor of	Allowing students to make their own choices regarding the clothes they wear prepares them for the adult world.	train
A07039	We should ban missionary work	in favor of	missionaries are intrusive to other countries and very invasive to the culture.	train
A07043	We should ban cosmetic surgery	in favor of	cosmetic surgery exists for vanity purposes doctors who offer the service should focus on treating people with real illnesses	train
A07044	We should ban the Church of Scientology	in favor of	the church of scientology is a cult that is harming society.	train
A07045	We should subsidize Wikipedia	against	there is no need to subsidize a site that isn't necessary	train
A07046	We should adopt libertarianism	against	We should not adopt libertarianism because we need the government to provide essential services that are unprofitable.	train
A07047	We should subsidize student loans	against	a person's education should be the responsibility of themselves	train
A07049	We should abolish the right to keep and bear arms	against	the right to keep and bear arms is protected by our government and should be like that so people can defend their self.	train
A07050	We should legalize cannabis	in favor of	cannabis should be legalized because it is no worse than alchohol.	train
A07051	We should cancel pride parades	against	we should continue to support pride parades because everyone has the right to do what they want as long as it does not harm others.	train
A07053	We should ban algorithmic trading	against	we should continue to support algorithmic trading as it gives orders a jump start rather than waiting until the complete order has been produced.	train
A07054	We should end the use of economic sanctions	in favor of	if we end economic sanctions, then it would lead to a more fair trade market.	train
A07055	We should abandon the use of school uniform	against	school uniforms are a good way to keep our kids from looking too sexualized from what they wear	train
A07057	We should legalize sex selection	against	gender selection is essentially playing god.	train
A07058	We should ban the Church of Scientology	in favor of	the church of scientology is a predatory, litigation-happy organization that serves no good purpose in the world.	train
A07059	We should abolish zoos	in favor of	animals in zoos have been repeatedly found to be malnourished and mistreated.	train
A07060	We should legalize organ trade	in favor of	Organ sales increase the likelihood that people with rare blood types or conditions can find an organ.	train
A07061	We should abolish the right to keep and bear arms	against	the right to bear arms is a fundamental right since the creation of  this country, and should be protected.	train
A07062	We should stop the development of autonomous cars	against	the number of fatalities that can be prevented with autonomous cars makes the development a moral imperative.	train
A07063	We should adopt a multi-party system	against	adopting a multi-party system leads to the formation weak and unstable coalition governments	train
A07066	We should ban the use of child actors	against	not all tv and movies is going to be adults only we need child actors to shows the world as it is	train
A07067	We should limit judicial activism	against	judicial activism allows for common sense to be applied where necessary	train
A07068	We should limit executive compensation	against	executives provide profits to shareholders and should be compensated accordingly	train
A07069	We should subsidize embryonic stem cell research	against	it is against certain religious beliefs and can be seen as immoral	train
A07072	We should legalize sex selection	in favor of	sex selection is the perfect solution to a family that has a history of all one gender.  many families want the perfect one and one so it's perfect for those as well.  it's a win no matter how you look.	train
A07073	We should ban the use of child actors	against	we should not ban the use of child actors because we would not have the shows and movies that are otherwise available.	train
A07074	We should subsidize journalism	in favor of	Non-trustworthy news sources and fake news stories abound. We must subsidize investigative journalism in order to ensure we have reliable news sources that report real facts.	train
A07075	We should ban cosmetic surgery for minors	against	We should not ban cosmetic surgery for minors because there are legitimate cases when it would improve a young person's mental health.	train
A07076	We should adopt a zero-tolerance policy in schools	in favor of	bullies should not be given second chances. being victim to school bullying is a major risk factor for developing mental health problems like depression, anxiety, and even suicidal thoughts.	train
A07077	We should adopt an austerity regime	in favor of	an austerity regime would eliminate the national debt by directing money to where it really needs to go.	train
A07079	We should ban algorithmic trading	in favor of	algorithmic trading gives people an unfair speed advantage over the rest of the field.	train
A07080	We should abolish the three-strikes laws	against	if someone hasn't learned by the first two chances then they aren't going to stop committing crimes. it makes more sense to lock them away than to let them keep committing crimes against the population.	train
A07082	We should adopt libertarianism	against	we should not adopt libertarianism because it will allow people to take advantage of the freedoms and eventually infringe on other people's freedoms.	train
A07084	We should fight for the abolition of nuclear weapons	in favor of	the abolition of nuclear weapons is a hugely important goal on the path to world peace.	train
A07087	We should introduce compulsory voting	against	every individual should be able to choose whether or not they want to vote	train
A07089	We should ban telemarketing	against	banning telemarketing has no approval anywhere as customers will not be able to see new products available to buy.	train
A07091	We should ban targeted killing	against	targetted killing could potentially help reduce the number of crimes if terrorists are killed before they can cause more harm	train
A07092	We should prohibit school prayer	in favor of	we have seperation of church and state for a reason.  schools are a government entity that is not suppose to be involved with, or support, any particular religion and the two need to stay seperate.	train
A07093	We should ban human cloning	against	though it may sound awful, human cloning can provide perfect matches for organ transplants and prolong the lives of people.	train
A07094	We should abolish intellectual property rights	in favor of	we should abolish intellectual property rights to break to the barriers if innovation, barring people from building on and improving ideas is counter productive	train
A07095	We should oppose collectivism	against	supporting collectivism is important because groups value is most important in the society which we live today.	train
A07096	We should ban telemarketing	in favor of	yes ban it, if i wanted to buy something i would know where to look for it without being bothered with constant calls	train
A07097	We should ban whaling	against	whaling is an important part of the diet, tradition and economies of many countries, and it is not our place to dictate terms as outsiders to their culture.	train
A07098	We should subsidize Wikipedia	in favor of	wikipedia is valuable knowledge resource that should not be allowed to go under due to lack of resources and so should be subsidized	train
A08001	We should adopt a zero-tolerance policy in schools	in favor of	a zero tolerance policy will scare the children into behaving and following the rules.	train
A08003	We should ban the Church of Scientology	against	people have to right to their own religious beliefs, no matter how odd others find it	train
A08005	We should adopt libertarianism	in favor of	our country need to adopt the less intervention supported by libertarianism. people need to make their own choice and be responsible for the outcome.	train
A08006	We should limit judicial activism	in favor of	a judge shouldnt be able to show their personal views.	train
A08007	We should adopt libertarianism	in favor of	libertarianism is the true path to real freedom and autonomy for all	train
A08009	We should abolish the right to keep and bear arms	against	the right to carry firearms is a legal deterrent for politicians with tyrannical or dictatorial tendencies	train
A08011	We should abolish safe spaces	in favor of	safe spaces are for people who don't like to talk about the issues in a civilized manner	train
A08012	We should ban human cloning	in favor of	humans don't have the right to play god with genetics	train
A08013	We should abolish the right to keep and bear arms	in favor of	Firearms are typically far more dangerous to the owner and his/her family than any intruder, due to misuse, murder, and suicide.	train
A08014	We should end mandatory retirement	against	Without a mandatory retirement age available to the employer, dismissal procedures would be likely to begin earlier	train
A08016	We should legalize cannabis	against	we should not legalize cannabis then more children will get a hold of it	train
A08018	We should abolish the right to keep and bear arms	in favor of	the right to keep and bear arms should be abolished because too many people die from gun violence in america.	train
A08019	We should abandon the use of school uniform	in favor of	the school uniform is outdated and takes away individual personalities.	train
A08020	We should abolish the three-strikes laws	in favor of	three strike laws perpetuate the for profit prison industrial complex and don't actually address the underlying issues driving people to commit crimes	train
A09001	We should ban fast food	in favor of	is leading to increased obesity and many health problems.	train
A09002	We should legalize cannabis	in favor of	as a non-addictive natural substance that is less harmful than currently legal ones such as tobacco and alcohol, it seems that cannabis is still illegal simply due to old prejudices.	train
A09003	We should ban the use of child actors	against	we must not prohibit the use of child actors because it goes against the right to work. children under the supervision of their parents can develop their artistic talent without affecting their personal growth	train
A09004	We should ban fast food	against	fast food is great when you need a quick meal on the run and it is more nutritious than snacking on chocolate bars or unhealthy snacks.	train
A09005	We should ban the Church of Scientology	against	people should be allowed to join any club, cult, religious group they want.  the government should not have a say in what an individual wants to participate in.	train
A09006	We should abolish the right to keep and bear arms	against	we shouldn't abolish the right to keep and bear arms because it can help stop mass shootings if everyone has a gun	train
A09007	We should adopt gender-neutral language	against	language changes cannot be legislated, they evolve spontaneously over time. if people want to use gender-neutral language, it will slowly become part of their vocabulary	train
A09008	We should ban algorithmic trading	against	if people want to use it then it is their choice	train
A09009	We should legalize organ trade	against	we should not legalize organ trade because then people would be selling their organs just for money	train
A09010	We should limit judicial activism	in favor of	judges should follow the letter of the law when making rulings and not make up things based on how they feel.	train
A09011	We should abolish the three-strikes laws	in favor of	Three strikes laws often punish those who have been pushed into crime by their socioeconomic background, which is unjust.	train
A09012	We should fight for the abolition of nuclear weapons	against	we need to keep our country safe and protected	train
A09013	We should stop the development of autonomous cars	against	autonomous cars offer the opportunity for people  to spend more time on the things they enjoy doing during their commute rather than having to concentrate.	train
A09014	We should ban missionary work	in favor of	historically missionaries have interfered in an unhealthy way with other cultures and continue to do so.	train
A09015	We should adopt libertarianism	against	libertarianism doesn't account for obvious public needs that are better served through collective action rather than each individual competing for resources.	train
A09017	We should ban the Church of Scientology	in favor of	the church of scientology encourages the isolation of it's members. this may lead to some members essentially being help against their will.	train
A09018	We should adopt atheism	against	we should not adopt atheism because organized religion instills good morals into people.	train
A09021	We should subsidize Wikipedia	in favor of	providing subsidies would allow more money to be spent on the editing process thus making wikepedia a more reliable source of information	train
A09022	We should abolish safe spaces	in favor of	safe spaces only shield people from the realities of the world and thus leave them unprepared.	train
A09023	We should ban the use of child actors	in favor of	the world of acting is a high pressure, extremely stressful place and children should be protected from it.	train
A09024	We should ban whaling	against	if people can get food and other products from whaling that helps sustain them, then it shouldn't be banned.	train
A09025	We should subsidize student loans	in favor of	it's the only way most people can afford college	train
A09026	We should abolish intellectual property rights	against	intellectual property rights enable people to benefit from what they worked so hard to achieve.	train
A09027	We should adopt an austerity regime	against	we should not adopt an austerity regime because people would end up with less money to pay the same amount of bills with.	train
A09028	We should adopt gender-neutral language	in favor of	many people do not feel comfortable with their gender and feel offended when we use inappropriate words	train
A09029	We should ban private military companies	in favor of	private military companies should be banned because it is immoral to make money off of war	train
A09030	We should abolish safe spaces	in favor of	people need to grow up and realise the world is a hard place	train
A09031	We should legalize prostitution	in favor of	Legalizing prostitution would make the profession less dangerous and less hazardous to one's health.	train
A09033	We should oppose collectivism	in favor of	collectivism is a facet of socialism, communism, etc. and eliminates individual worth	train
A09035	We should abolish the Olympic Games	against	The Olympic games provides jobs and is a boost for the economy in the host country.	train
A09036	We should ban factory farming	against	factory farming helps to produce meat at a lower cost thus enabling those on a lower income to be able to purchase meats.	train
A09037	We should prohibit school prayer	against	in today's hectic fast-paced society, it is freeing to take time to sit quietly and pray. it should be encouraged in our schools.	train
A09038	We should introduce compulsory voting	in favor of	we should introduce compulsory voting as all citizens need to have their voices heard to make the outcomes of elections more credible and truly representative of the whole population.	train
A09039	We should ban missionary work	against	we should not ban missionary work because people have a right to help out others if they chose to do so	train
A09040	We should ban cosmetic surgery for minors	in favor of	Children are not able to consent or conceptualize permanent changes which result from cosmetic surgery.	train
A09042	We should adopt a zero-tolerance policy in schools	against	the zero-tolerance policy is not a good thing at all , kids getting punished for their actions and humiliated in front of a audience is really not the great thing to do.	train
A09043	We should end the use of economic sanctions	in favor of	economic sanctions hurt the poorest people of a nation	train
A09045	We should end the use of economic sanctions	against	economic sanctions can be very effective in bringing about social change	train
A09046	We should end mandatory retirement	in favor of	mandatory retirement should be ended as it is unfair on older people.	train
A09048	We should adopt a multi-party system	in favor of	In multi-party systems, there are many types of ideologies - as opposed to two-party systems, where the nation is not divided into two rival groups.	train
A09051	We should abolish capital punishment	in favor of	recent dna evidence have proved that some death penalty inmates to be innocent. executing one innocent person is an enough proof that the capital punishment should be abolished.	train
A09053	We should stop the development of autonomous cars	against	autonomous cars can make trips more relaxing and help the traveler arrive refreshed and happy.  it can also eliminate road rage.	train
A09058	We should ban human cloning	in favor of	WE SHOuld ban human cloning because it causes huge issues in terms of rights and ownership	train
A09060	We should abolish the Olympic Games	against	The Olympic Games allow for countries around the world to compete in friendly competition and is a healthy outlet for national pride.	train
