Argument ID	Text	Labels
A04009	We should abolish intellectual property rights in favor of ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A04014	We should ban whaling in favor of whaling is a barbaric practice that destroys majestic animals	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
A04018	We should abandon the use of school uniform in favor of School uniforms are too expensive and many parents can not afford the extra expense.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A04020	We should fight for the abolition of nuclear weapons in favor of Nuclear weapons should be abolished because they have to potential to cause so much destruction.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05001	We should abolish intellectual property rights in favor of ideas are free thoughts so it's not fair for one person to profit off of it	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05003	We should end the use of economic sanctions in favor of economic sanctions affect poor people more than governments	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05005	We should ban factory farming in favor of factory farming is bad for the environment and should be banned	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
A05006	We should legalize organ trade in favor of if we legalize the organ trade we will save lives, by ensuring that more people who need an organ transplant actually get one.	[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05012	We should subsidize embryonic stem cell research in favor of embryonic stem cell research should be subsidized because it only requires a small amount of cells because of the fast replication rate	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A05013	We should ban private military companies in favor of private military companies could be a danger to our national security because their motives are financial in nature which means they could act in ways that are not in our country's best interest politcally.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05014	We should adopt libertarianism in favor of libertarianism fosters a more equitable and efficient society for all	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05015	We should abolish safe spaces in favor of these are usually located in universities. students need to prepare for the real world and know how to handle conflict. once they leave school they'll have no idea how to handle the constant conflict in life.	[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
A05017	We should ban cosmetic surgery in favor of cosmetic surgery is unnecessary and dangerous.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
A05018	We should abolish the Olympic Games in favor of the olympic games cause turmoil and a lot of money.	[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05021	We should legalize cannabis in favor of Legalizing marijuana would lead to a reduction in gang-related drug violence.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05022	We should adopt gender-neutral language in favor of we should adopt gender-neutral language because it avoids offending people with gender stereo-types	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0]
A05023	We should ban algorithmic trading in favor of algorithmic trading should be banned as it manipulates the economy to benefit stockholders.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05028	We should ban the use of child actors in favor of the world of show has proven to be full of vices that in the case of children is very harmful	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
A05031	We should limit executive compensation in favor of we should limit executives earnings.  some ceo's get millions of dollars for a salary plus housing, airplanes, and even get a package to leave the company.  all this while average worker could use more.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05034	We should abolish the three-strikes laws in favor of three is an arbitrary number and may not be appropriate in some instances or for some crimes	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]
A05036	We should end mandatory retirement in favor of the loss of experience and knowledge from mandatory retirement is costly to businesses	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
A05039	We should subsidize student loans in favor of student loans set children up to be valuable citizens and the state should support this	[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05041	We should oppose collectivism in favor of collectivism prevents original thoughts and discourages people from looking for their own ideas	[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05042	We should ban missionary work in favor of missionary work plays on the ignorance of local people to exploit them	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
A05044	"We should limit judicial activism in favor of activists judges aren't the ones shaping the laws. they're not ""all"" the people for who the laws are voted for. judicial activism has to be limited to only check for overuse of the power by governments"	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05047	We should oppose collectivism in favor of treating everyone as a large group unit is not helpful for people who have different individual needs.	[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05049	We should prohibit school prayer in favor of prayer in schools violates a person's right to follow whatever religion they choose.	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05053	We should introduce compulsory voting in favor of compulsory voting makes for more informed voters	[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1]
A05063	We should ban factory farming in favor of it should be banned so that it doesn't take away our farms and will cause more global warming	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]
A05067	We should ban cosmetic surgery for minors in favor of cosmetic surgery for minors should be banned because they are not finished growing no do they have a mature enough background to make a sound decision towards this procedure.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A05070	We should adopt atheism in favor of we should adopt atheism because it would be easier than being religious and having so many different beliefs	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05071	We should ban human cloning in favor of human cloning should be banned because it allows designer humans to be grown according to the parents wishes.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]
A05073	We should ban whaling in favor of whaling is inhumane and unnecessary and killing the whale population.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
A05074	We should adopt an austerity regime in favor of an austerity regime will help to reduce the deficit of the country	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
A05076	We should subsidize space exploration in favor of there is so much more to explore and learn about space that subsidising space exploration would bring us closer to learning and understanding what is beyond our planet.	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05082	We should ban algorithmic trading in favor of algorithmic trading should be banned because it gives some people an unfair advantage.	[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05083	We should legalize prostitution in favor of legalising prostitution will ensure the safety of both the sex trade worker and client	[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A05086	We should ban telemarketing in favor of telemarketing is intrusive, annoying and violates privacy	[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
A05087	We should end mandatory retirement in favor of We should end mandatory retirement because it removes people who are knowledgeable and skilled from jobs that they are good at.	[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05088	We should abandon the use of school uniform in favor of if you are not required to wear a uniform, you are free to choose clothing styles that are more favorable to your body type and coloring, which allows you to look your best	[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05090	We should abandon the use of school uniform in favor of forcing children into wearing school uniforms shows our children that they cannot think as individuals and must conform to societies way of thinking.	[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05092	We should ban the Church of Scientology in favor of scientology is actually a wealthy cult and members are abused physically and financially.	[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05093	We should ban the use of child actors in favor of child actors lose the sense of a proper childhood.	[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A05097	We should adopt a zero-tolerance policy in schools in favor of children need to learn boundaries and consequences for their actions. they learn faster if there is immediate repercussions than if you let them do it over and over again.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
A05099	We should abolish the right to keep and bear arms in favor of it will decrease the number of crimes and violence on the streets	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A06003	We should stop the development of autonomous cars in favor of autonomous cars are prohibitively expensive	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A06004	We should abandon the use of school uniform in favor of school uniforms cost a lot and might not be affordable for everyone	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A06008	We should adopt a zero-tolerance policy in schools in favor of a zero tolerance policy at school is a good idea because children need to be disciplined as it might cut crime in the future.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A06010	We should abolish safe spaces in favor of Safe spaces stifle dialogue about controversial topics, such as race, gender and religion.	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A06011	We should end the use of economic sanctions in favor of economic sanctions are unethical to the economies of smaller, underdeveloped countries.	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A06015	We should ban the use of child actors in favor of we should ban the use of child actors since it puts so much pressure on them. they should be growing up with a stable life and just enjoy being a kid.	[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A06017	We should subsidize student loans in favor of we should subsidize student loans as these are our future leaders and workers and we want to ensure their success in order to secure the countries success.	[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A06019	We should legalize prostitution in favor of prostitution should be legal as it can be controlled & monitored easier & be less dangerous	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A07006	We should ban missionary work in favor of people should keep their religion to themselves	[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
A07007	We should adopt atheism in favor of not everybody believes in or practices a religion so we should adopt atheism for them	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]
A07008	We should end the use of economic sanctions in favor of economic sanctions are used to bully other nations to act in your own interest, by harming the innocent citizens no less	[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]
A07009	We should ban private military companies in favor of only governments can be trusted with armies so we should ban private military companies.	[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
A07012	We should subsidize journalism in favor of journalism is more important than ever in an era of fake news and social media.	[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1]
A07014	We should abolish the Olympic Games in favor of we should abolish the olympic games because bring together different nations with radically different governments is dangerous.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]
A07016	We should ban factory farming in favor of factory farming treats animals inhumanely, which is wrong and immoral.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]
A07018	We should prohibit school prayer in favor of we need to prohibit school prayer, as not all people agree with it and it should not be forced on anyone	[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]
A07020	We should abolish the Olympic Games in favor of the olympic games encourage animosity between countries	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]
A07022	We should adopt gender-neutral language in favor of there are far more than two genders today, and thus, gender-neutral language only makes sense.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1]
A07023	We should abolish safe spaces in favor of safe places are not needed. people need to adjust to the world in which they live in and stop trying to always seek protection from the things they don't like.	[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
A07025	We should abolish capital punishment in favor of there are too many historical cases where innocent people have been put to death.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]
A07026	We should adopt a multi-party system in favor of multi-party systems offer voters more choices and more representation.	[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]
A07032	We should legalize prostitution in favor of with so much sexual freedom these days prostitution should now be legal.	[0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]
A07033	We should stop the development of autonomous cars in favor of they can cause accidents if the equipment fails.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A07036	We should limit judicial activism in favor of judicial activism relies too heavily upon personal opinion and leads to bias.	[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1]
A07038	We should abandon the use of school uniform in favor of Allowing students to make their own choices regarding the clothes they wear prepares them for the adult world.	[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
A07039	We should ban missionary work in favor of missionaries are intrusive to other countries and very invasive to the culture.	[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]
A07043	We should ban cosmetic surgery in favor of cosmetic surgery exists for vanity purposes doctors who offer the service should focus on treating people with real illnesses	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]
A07044	We should ban the Church of Scientology in favor of the church of scientology is a cult that is harming society.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A07050	We should legalize cannabis in favor of cannabis should be legalized because it is no worse than alchohol.	[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A07054	We should end the use of economic sanctions in favor of if we end economic sanctions, then it would lead to a more fair trade market.	[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A07058	We should ban the Church of Scientology in favor of the church of scientology is a predatory, litigation-happy organization that serves no good purpose in the world.	[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
A07059	We should abolish zoos in favor of animals in zoos have been repeatedly found to be malnourished and mistreated.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]
A07060	We should legalize organ trade in favor of Organ sales increase the likelihood that people with rare blood types or conditions can find an organ.	[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A07072	We should legalize sex selection in favor of sex selection is the perfect solution to a family that has a history of all one gender.  many families want the perfect one and one so it's perfect for those as well.  it's a win no matter how you look.	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1]
A07074	We should subsidize journalism in favor of Non-trustworthy news sources and fake news stories abound. We must subsidize investigative journalism in order to ensure we have reliable news sources that report real facts.	[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]
A07076	We should adopt a zero-tolerance policy in schools in favor of bullies should not be given second chances. being victim to school bullying is a major risk factor for developing mental health problems like depression, anxiety, and even suicidal thoughts.	[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]
A07077	We should adopt an austerity regime in favor of an austerity regime would eliminate the national debt by directing money to where it really needs to go.	[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]
A07079	We should ban algorithmic trading in favor of algorithmic trading gives people an unfair speed advantage over the rest of the field.	[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A07084	We should fight for the abolition of nuclear weapons in favor of the abolition of nuclear weapons is a hugely important goal on the path to world peace.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A07092	We should prohibit school prayer in favor of we have seperation of church and state for a reason.  schools are a government entity that is not suppose to be involved with, or support, any particular religion and the two need to stay seperate.	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A07094	We should abolish intellectual property rights in favor of we should abolish intellectual property rights to break to the barriers if innovation, barring people from building on and improving ideas is counter productive	[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A07096	We should ban telemarketing in favor of yes ban it, if i wanted to buy something i would know where to look for it without being bothered with constant calls	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]
A07098	We should subsidize Wikipedia in favor of wikipedia is valuable knowledge resource that should not be allowed to go under due to lack of resources and so should be subsidized	[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
A08001	We should adopt a zero-tolerance policy in schools in favor of a zero tolerance policy will scare the children into behaving and following the rules.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A08005	We should adopt libertarianism in favor of our country need to adopt the less intervention supported by libertarianism. people need to make their own choice and be responsible for the outcome.	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
A08006	We should limit judicial activism in favor of a judge shouldnt be able to show their personal views.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1]
A08007	We should adopt libertarianism in favor of libertarianism is the true path to real freedom and autonomy for all	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A08011	We should abolish safe spaces in favor of safe spaces are for people who don't like to talk about the issues in a civilized manner	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
